label,url_length,dots,slashes,special_chars,https,suspicious_words,domain_length
1,35,2,3,2,0,0,8
0,41,2,4,2,1,0,4
0,33,2,4,0,1,0,8
0,37,2,3,0,1,0,8
1,24,1,3,0,0,0,4
1,48,3,2,0,0,0,6
1,34,3,3,0,0,0,3
0,54,3,4,0,1,0,7
1,56,3,4,1,1,0,4
0,70,3,3,6,1,0,6
0,62,3,4,2,1,0,12
0,59,4,3,2,1,0,11
1,63,3,7,1,0,0,6
1,108,3,3,11,0,0,13
1,55,2,5,0,0,1,15
0,50,3,3,0,1,0,7
1,15,1,0,0,0,0,11
1,43,2,4,0,0,1,14
0,50,2,4,2,1,0,4
0,46,3,4,0,1,0,9
0,58,2,3,0,1,0,10
0,112,3,7,10,1,1,16
1,33,4,4,0,0,0,11
1,115,3,3,11,0,0,12
0,60,2,5,2,1,0,15
1,82,3,3,8,0,0,10
1,43,3,4,0,1,0,10
1,169,4,7,16,0,0,8
1,69,1,3,2,0,0,32
0,34,3,3,0,1,0,12
0,43,2,4,0,1,0,5
1,35,3,1,0,0,0,13
1,57,3,5,0,0,0,13
1,18,1,0,0,0,0,14
1,53,3,6,1,0,0,11
1,80,3,3,8,0,0,7
1,57,3,4,3,0,0,9
0,50,2,6,0,1,0,4
1,27,1,5,0,0,0,5
1,17,1,0,0,0,0,13
1,46,4,2,0,0,0,7
1,30,1,3,0,0,1,10
0,64,2,5,1,1,0,24
0,55,2,5,3,1,0,5
1,52,3,4,1,0,0,15
1,83,2,3,8,0,0,15
1,69,3,3,3,0,0,22
0,43,2,3,2,1,0,7
1,30,4,3,0,0,0,14
0,45,2,4,0,1,0,13
1,18,1,3,1,0,0,6
1,99,3,3,8,0,0,7
1,104,2,3,11,0,0,5
1,25,1,3,1,0,0,7
0,101,3,5,7,1,0,9
1,46,1,4,2,0,2,14
0,63,2,5,4,1,0,7
1,65,2,7,2,0,1,11
1,64,4,4,4,0,0,12
1,50,1,7,1,0,0,6
0,47,2,5,0,1,0,8
1,70,3,7,0,0,1,16
1,51,3,3,4,0,0,4
1,32,2,3,1,0,0,10
0,38,2,5,0,1,0,4
1,104,2,3,11,0,0,11
0,51,3,4,2,1,0,8
0,35,3,3,0,1,0,9
1,42,2,4,1,0,0,10
1,25,3,3,0,0,0,14
0,46,3,5,0,1,0,10
0,68,3,6,3,1,0,3
0,44,3,3,0,1,0,11
1,33,2,2,0,0,0,11
1,116,3,4,5,1,0,2
1,28,1,3,0,0,0,11
1,76,3,4,1,1,0,4
0,59,2,4,2,1,0,4
0,62,2,6,0,1,0,13
0,39,2,3,0,1,0,22
1,20,2,0,0,0,0,13
0,67,3,3,0,1,0,19
1,74,2,6,0,0,0,13
1,107,2,6,4,0,0,13
1,115,2,12,0,0,1,11
1,53,4,3,1,0,0,10
0,42,2,3,0,1,0,14
0,44,3,3,2,1,0,6
0,69,2,4,5,1,0,4
1,30,1,3,0,0,0,12
0,36,2,3,0,1,0,8
1,22,3,1,0,0,0,5
1,66,3,3,5,0,0,14
0,35,3,3,0,1,0,7
1,120,2,8,13,0,0,6
1,148,4,6,6,0,2,6
1,94,2,8,0,0,0,8
1,127,5,5,8,0,0,5
1,18,2,0,0,0,0,10
0,61,3,3,0,1,0,8
1,99,3,3,10,0,0,26
0,60,4,4,1,1,0,10
0,134,15,13,0,1,0,8
1,48,4,5,0,0,0,2
